objID,ra,dec,z,g,r,i
1.23765E+18,270.0058823,-0.000818154,22.03795,24.12805,22.15325,22.314
1.23765E+18,270.0135182,-0.001222429,14.18885,16.52675,14.92987,14.387
1.23765E+18,270.0074926,0.014115189,21.248,25.92737,22.50014,21.68899
1.23765E+18,270.0155304,0.005689797,18.13346,19.58961,18.71007,18.38125
1.23765E+18,270.0168346,0.003239869,18.81094,20.77467,19.59648,19.11816
1.23765E+18,270.0068729,0.017156267,22.01892,23.739,23.21852,21.48489
1.23765E+18,269.9851678,0.012230611,21.33866,23.00842,21.33695,20.91222
1.23765E+18,270.0076021,0.017750252,21.45922,24.36133,23.81001,21.95732
1.23765E+18,270.0015821,0.020217523,22.41246,25.53057,21.90236,22.46166
1.23765E+18,269.9924425,0.019106891,19.94596,25.02232,24.55182,20.54191
1.23765E+18,269.9990724,0.020676101,18.42614,20.49333,19.28754,18.79083
1.23765E+18,269.9792958,-0.001210329,20.50103,23.38268,21.92457,21.05688
1.23765E+18,270.0185471,0.012245636,19.2254,21.43934,20.05476,19.50168
1.23765E+18,269.9857911,0.021596034,18.10817,19.39422,18.61314,18.24929
1.23765E+18,270.0224727,0.015316463,19.76923,21.25754,20.14747,19.76842
1.23765E+18,269.9721128,0.009692698,20.81666,25.06323,23.01298,21.94237
1.23765E+18,269.9766834,0.018361146,21.91886,25.11688,23.67383,22.09138
1.23765E+18,270.011359,0.028340052,20.18504,20.63846,20.33752,20.20333
1.23765E+18,269.9872521,0.028381593,17.8301,19.18317,18.38235,18.08375
1.23765E+18,269.9663382,0.005572618,17.48318,18.85582,18.02101,17.68246
1.23765E+18,269.9648329,-4.39E-05,22.86625,20.37684,24.79318,24.38549
1.23765E+18,269.981975,0.030198099,22.42138,24.19256,23.64778,22.25304
1.23765E+18,270.0245577,0.025711538,18.40353,20.70498,20.69915,24.32815
1.23765E+18,270.0360907,0.000204813,20.01948,21.33299,20.31225,20.01168
1.23765E+18,269.9812187,0.031105985,19.4272,22.94373,21.14828,19.95904
1.23765E+18,269.9630875,0.004501273,19.40191,21.14471,20.26293,19.82878
1.23765E+18,270.0280963,0.025289264,21.32854,24.50096,22.69814,21.43139
1.23765E+18,269.9754875,0.030965877,21.01683,25.73811,22.85867,21.3671
1.23765E+18,270.039935,-0.000373333,18.25933,20.48623,19.09957,18.61319
1.23765E+18,269.9783678,0.034919044,21.13545,25.21127,24.1818,21.7306
1.23765E+18,269.9809813,0.03728472,20.21461,21.89681,21.92633,20.91178
1.23765E+18,269.9586893,0.006955444,20.94842,23.94315,22.30285,21.33287
1.23765E+18,269.9642347,0.022195677,21.81604,25.32596,25.4877,21.89116
1.23765E+18,269.9601469,0.014243772,21.84937,23.3913,22.25326,21.53194
1.23765E+18,269.9807043,0.038525522,22.28751,25.48078,24.17751,22.1329
1.23765E+18,269.9709128,0.032048763,20.29384,22.56951,21.16645,20.55231
1.23765E+18,269.9586914,0.017328263,20.78411,24.48119,25.11721,21.94985
1.23765E+18,269.9718357,0.035234001,21.57457,24.69461,22.78169,21.85771
1.23765E+18,269.9586928,0.019186495,22.27401,25.00522,22.72321,21.64057
1.23765E+18,269.9748835,0.038382406,19.60639,21.39982,20.239,19.8625
1.23765E+18,269.9978488,0.046531692,18.6026,20.68614,19.42123,18.87769
1.23765E+18,269.9526855,-0.000295149,20.75908,23.02074,22.59042,21.19545
1.23765E+18,269.9558989,0.017600261,20.50597,22.68717,21.15601,20.71893
1.23765E+18,270.0468084,0.012880361,20.48163,21.59898,21.10653,21.35273
1.23765E+18,269.951071,0.003453805,19.28957,21.27626,20.21192,19.72575
1.23765E+18,269.9586785,0.028424235,19.61203,20.9977,20.32146,20.09571
1.23765E+18,269.9891329,0.04953805,23.18718,25.41905,18.71467,18.66508
1.23765E+18,269.9482682,0.00178862,18.94787,20.38283,19.70569,19.39976
1.23765E+18,269.9762568,0.046350732,16.95776,18.42414,17.52584,17.169
1.23765E+18,269.9635788,0.037959283,17.78872,19.61936,18.53525,18.06955
1.23765E+18,270.0425629,0.031240087,20.16108,23.00734,21.13268,20.5682
1.23765E+18,270.0503432,0.016748413,22.45698,23.64504,22.87988,21.81877
1.23765E+18,270.0221126,0.048364466,17.44978,19.72208,18.55664,17.97039
1.23765E+18,270.0443884,0.030767462,22.82708,25.116,20.22394,19.96501
1.23765E+18,269.9487427,0.01724843,21.43221,24.24204,23.2485,22.05686
1.23765E+18,270.0443806,0.031133553,20.56541,21.19748,20.31463,20.36893
1.23765E+18,269.993954,0.0547782,21.62874,22.89018,22.0074,21.39985
1.23765E+18,269.9445331,-0.000984678,18.89759,20.41712,19.42343,19.05392
1.23765E+18,270.0123731,0.054374117,19.2858,20.8245,19.87752,19.51121
1.23765E+18,270.0556105,0.004699119,19.99488,23.022,21.58864,20.57699
1.23765E+18,270.0497002,0.026442933,19.29904,20.96276,24.80202,19.57321
1.23765E+18,269.9463555,0.020036672,23.71368,24.51209,25.35674,21.95525
1.23765E+18,270.0534191,0.020853524,20.54283,24.29279,22.67566,21.11205
1.23765E+18,270.0564616,0.010699563,18.39359,20.25242,19.1724,18.69046
1.23765E+18,269.9833077,0.055754118,20.30822,22.51817,21.06905,20.43075
1.23765E+18,269.978237,0.055489491,21.65376,25.39161,22.47222,21.7293
1.23765E+18,270.0527985,0.02899779,25.89478,27.57755,17.85747,19.20442
